TIMESTAMP;PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;ΕΝΕΡΓΕΙΑ (kWh);Μήνας
11/08/2025 02:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 02:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 02:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 02:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 03:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 03:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 03:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 03:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 04:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 04:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 04:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 04:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 05:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 05:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 05:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 05:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 06:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 06:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 06:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.0;2025-08
11/08/2025 06:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.043;2025-08
11/08/2025 07:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.236;2025-08
11/08/2025 07:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.546;2025-08
11/08/2025 07:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.846;2025-08
11/08/2025 07:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;1.375;2025-08
11/08/2025 08:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;2.264;2025-08
11/08/2025 08:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;3.452;2025-08
11/08/2025 08:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;4.857;2025-08
11/08/2025 08:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;6.334;2025-08
11/08/2025 09:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;5.535;2025-08
11/08/2025 09:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 09:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
11/08/2025 09:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.005;2025-08
