2026-02-13 20:19:50 | load_producers | DEBUG |   Code 19177 → ΕΝ. ΚΟΙΝΟΤ. ΠΕΡ. ΕΥΘΥΝΗΣ ΑΠΟΛΛΩΝ ΗΛΕΚΤΡΟΕΝΕΡΓΕΙΑΚΗ ΚΟΖΑΝΗΣ_2
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 29536 → ΓΕΩΡΓΙΟΣ ΜΠΙΡΖΑΜΑΝΗΣ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 29538 → ΣΥΚΟΥΔΗΣ ΑΘΑΝΑΣΙΟΣ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 29654 → ΒΑΣΙΛΕΙΟΣ ΤΣΑΝΤΙΛΑΣ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 28558 → ΠΕΡΑΝ ΕΝΕΡΓΕΙΑΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 17672 → BIOGAS ENERGY Α.Ε.
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 19873 → ΕΝΕΡΓΕΙΑΚΗ ΚΟΙΝΟΤΗΤΑ ΗΛΙΑΧΤΙΔΑ (ΑΛΩΝΙΑ)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 24669 → ΕΝΕΡΓΕΙΑΚΗ ΚΟΙΝΟΤΗΤΑ ΗΛΙΑΧΤΙΔΑ (ΚΡΑΝΙΑ)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 19810 → ΕΝΕΡΓΕΙΑΚΗ ΚΟΙΝΟΤΗΤΑ ΘΕΣΣΑΛΙΚΗ ΗΛΙΑΧΤΙΔΑ (ΣΠΑΝΙΕΣ)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 26213 → ΕΝΕΡΓΕΙΑΚΗ ΚΟΙΝΟΤΗΤΑ ΗΛΙΑΧΤΙΔΑ (ΑΛΛΑ ΧΩΡΑΦΙΑ)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 29972 → HYDROTHESS Ι.Κ.Ε.
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 26694 → SERVICE GAS ONE ΜΟΝ. Α.Ε.
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 28900 → ΣΗΘΥΑ ΘΕΣΣΑΛΟΝΙΚΗΣ ΙΚΕ
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 15575 → E.T.B.A. ΒΙΟΜΗΧΑΝΙΚΕΣ ΠΕΡΙΟΧΕΣ Α.Ε.
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 15864 → Φ/Β ΠΑΡΚΟ ΜΟΔΙΟΥ ΜΟΝ ΑΕ (ΜΟΥΡΙΚΙ Α)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 15865 → Φ/Β ΠΑΡΚΟ ΜΟΔΙΟΥ ΜΟΝ ΑΕ (THIVA A)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 18047 → Φ/Β ΠΑΡΚΟ ΜΟΔΙΟΥ ΜΟΝ ΑΕ (ISOMA STEFANI)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 15863 → Φ/Β ΠΑΡΚΟ ΜΟΔΙΟΥ ΜΟΝ ΑΕ (ΜΟΥΡΙΚΙ Β)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 27242 → PONSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.(121)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 25857 → PONSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.(126)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 25856 → PONSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.(181)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 27245 → PONSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.(207)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 27243 → PONSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.(230)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 27251 → LIVERSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε. (127)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 25850 → LIVERSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε. (142)
2026-02-13 20:19:50 | load_producers | DEBUG |   Code 25855 → LIVERSOL ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε. (164)
